Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Event_Year
WPR13IA144,2013-03-05,"Danville, CA",United States,37.839444,-122.003333,SJC,Norman Y. Mineta San Jose Int,INCIDENT,Minor,N417QX,Bombardier,DHC-8,SCHD,Horizon Air,0,0,51.0,VMC,CLIMB,2013
WPR13LA431,2013-09-29,"Reno, NV",United States,39.498889,-119.768056,,,NON-FATAL,,N449QX,Bombardier,DHC-8,SCHD,Horizon Air Industries Inc,0,1,58.0,VMC,APPROACH,2013
SEA02IA044,2002-03-01,"Boise, ID",United States,,,,,INCIDENT,,N410QX,Bombardier,DHC-8,SCHD,Horizon Airlines,0,0,73.0,VMC,CRUISE,2002
NYC05LA013,2004-10-27,"Philadelphia, PA",United States,39.871945,-75.241111,PHL,Philadelphia International,NON-FATAL,Substantial,N592ML,Bombardier,CL-600,SCHD,MESA AIRLINES INC (DBA: US Airways Express),0,0,41.0,VMC,TAXI,2004
CEN09FA094,2008-12-15,"Chicago, IL",United States,41.980834,-87.906389,ORD,Chicago O'Hare International,INCIDENT,Minor,N511MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc",0,0,32.0,VMC,APPROACH,2008
DFW05LA047,2004-12-29,"Austin, TX",United States,30.201944,-97.666667,AUS,Austin-Bergstrom International,NON-FATAL,,N506MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,1,59.0,VMC,OTHER,2004
DCA07FA037,2007-04-12,"Traverse City, MI",United States,44.741666,-85.593333,KTVC,Cherry Capitol Airport,NON-FATAL,Substantial,N8905F,Bombardier,CL-600,SCHD,PINNACLE AIR INC (DBA: Northwest Airlink),0,0,52.0,IMC,LANDING,2007
CHI05FA077,2005-03-11,"Milwaukee, WI",United States,42.931667,-87.898055,MKE,Milwukee/General Mitchell,NON-FATAL,Substantial,N8932C,Bombardier,CL-600,SCHD,Pinnacle Airlines,0,0,12.0,IMC,CLIMB,2005
DCA05MA031,2005-02-02,"Teterboro, NJ",United States,,,KTEB,Teterboro NJ,NON-FATAL,Substantial,N370V,Bombardier,CL-600,NSCH,Platinum Jet Managment,0,4,0.0,VMC,TAKEOFF,2005
DCA10IA022,2010-01-19,"Charleston, WV",United States,,,CRW,Yeager Airport,INCIDENT,Minor,N246PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: USAirways Express),0,0,34.0,VMC,TAKEOFF,2010
DCA12CA035,2012-02-03,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,NON-FATAL,Substantial,N912SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,52.0,VMC,STANDING,2012
CHI08LA051,2007-12-16,"Chicago, IL",United States,41.978611,-87.904722,ORD,Chicago O'Hare Intl,NON-FATAL,Substantial,N918SW,Bombardier,CL-600,SCHD,Skywest Airlines Inc,0,1,32.0,VMC,TAXI,2007
CHI04IA056,2004-01-17,"Rapid City, SD",United States,44.045277,-103.057222,RAP,Rapid City Regional Airport,INCIDENT,Minor,N595SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Skywest Airlines),0,0,35.0,IMC,LANDING,2004
ENG10IA055,2010-09-28,"Milwaukee, WI",United States,42.947222,-87.896666,MKE,GENERAL MITCHELL INTL,INCIDENT,Minor,N498CA,Bombardier,CL-600,SCHD,"SKYWEST AIRLINES, Inc.",0,0,39.0,VMC,LANDING,2010
ERA09LA538,2009-09-27,"Vineyard Haven, MA",United States,41.393055,-70.614444,MVY,Martha's Vineyard,NON-FATAL,Substantial,N190MP,Bombardier,CL-600,,,0,0,4.0,IMC,LANDING,2009
CEN09LA088,2008-12-14,"Gary, IN",United States,41.616111,-87.412778,GYY,Gary International Airport,NON-FATAL,Substantial,N573BA,Bombardier,CL-600,,,0,0,3.0,VMC,LANDING,2008
NYC01IA024,2000-10-26,"FALMOUTH, KY",United States,,,,,INCIDENT,,N958CA,Bombardier,CL-600,SCHD,,0,0,50.0,VMC,CRUISE,2000
NYC01LA023A,2000-10-23,"NEW YORK, NY",United States,,,LGA,LA GUARDIA,NON-FATAL,Substantial,N804CA,Bombardier,CL-600,SCHD,,0,0,81.0,VMC,TAXI,2000
ENG13WA026,2013-05-06,"Osaka, Japan, Japan",Japan,,,RJOO,Osaka International Airport,INCIDENT,Minor,,Bombardier,CL-600,SCHD,,0,0,55.0,,,2013
DCA09WA031,2009-02-24,"Santander, Spain",Spain,,,,,INCIDENT,,,Bombardier,CL-600,SCHD,,0,0,,,,2009
NYC04LA174,2004-07-21,"Snow Hill, VA",United States,38.056389,-75.463889,,,NON-FATAL,,N995CA,Bombardier,CL-600,SCHD,,0,1,4.0,VMC,MANEUVERING,2004
LAX03IA199,2003-06-13,"Phoenix, AZ",United States,33.434166,-112.008056,KPHX,Phoenix Sky Harbor Intl,INCIDENT,,N97325,Bombardier,CL-600,SCHD,,0,0,52.0,VMC,CLIMB,2003
NYC03LA101,2003-05-07,"Boston, MA",United States,42.366945,-71.008611,BOS,Logan International Airport,NON-FATAL,Substantial,N484CA,Bombardier,CL-600,SCHD,,0,0,3.0,VMC,STANDING,2003
CHI03FA014,2002-10-24,"Chicago, IL",United States,41.979445,-87.904444,ORD,CHICAGO O'HARE INTL,NON-FATAL,Substantial,N681BR,Bombardier,CL-600,SCHD,,0,0,48.0,VMC,TAXI,2002
DCA16WA045,2016-01-08,"Kiruna, Sweden",Sweden,,,,,FATAL,Destroyed,,Bombardier,CL-600,,,2,0,,,,2016
ENG13WA044,2013-09-07,"Moscow, Russia",Russia,,,,,INCIDENT,,,Bombardier,CL-600,,,0,0,10.0,,,2013
DCA13WA050,2013-01-29,"Almaty, Kazakhstan",Kazakhstan,,,,,FATAL,Destroyed,,Bombardier,CL-600,SCHD,,21,0,,,,2013
DCA13WA003,2012-10-16,"Lorient, France",France,,,,,INCIDENT,Minor,,Bombardier,CL-600,SCHD,,0,0,57.0,,,2012
DCA15WA182,2015-07-27,"Makassar, Indonesia",Indonesia,,,,,INCIDENT,,,Bombardier,CL-600,,,0,0,98.0,,TAXI,2015
ATL03IA126,2003-08-13,"Raleigh Durham, NC",United States,35.883056,-78.790277,RDU,Raleigh Durham International,INCIDENT,Minor,N451CA,Bombardier,CL-600,SCHD,,0,0,23.0,VMC,CRUISE,2003
NYC02IA097,2002-05-08,"Covington, KY",United States,39.046111,-84.662222,,,INCIDENT,,N709CA,Bombardier,CL-600,SCHD,,0,0,18.0,IMC,CRUISE,2002
DCA05RA010,2004-11-21,"Baotou, China",China,,,,,FATAL,Destroyed,,Bombardier,CRJ-200,SCHD,,55,0,,VMC,,2004
ENG11WA045,2011-08-15,"Lyon, France, France",France,,,LYS,Lyon Saint Exupery Airport,INCIDENT,Minor,,Bombardier,CRJ-700,SCHD,,0,0,,,,2011
ENG11RA042,2011-07-21,"Edinburgh, United Kingdom",United Kingdom,,,,,INCIDENT,,,Bombardier,DHC-8,SCHD,,0,0,,,,2011
ENG10RA017,2009-12-21,"London, United Kingdom",United Kingdom,,,LGW,London Gatwick,INCIDENT,Minor,,Bombardier,DHC-8,SCHD,,0,0,,,,2009
SEA03FA024,2003-01-08,"Medford, OR",United States,42.446944,-122.860556,MFR,Rogue Valley Int.,NON-FATAL,Substantial,N409QX,Bombardier,DHC-8,SCHD,,0,1,31.0,VMC,APPROACH,2003
LAX05FA202,2005-06-12,"Los Angeles, CA",United States,33.9425,-118.408056,LAX,Los Angeles International Airp,NON-FATAL,Substantial,N960SW,Bombardier,CL-600,SCHD,,0,0,17.0,VMC,APPROACH,2005
DCA13CA066,2012-12-05,"New York, NY",United States,40.777223,-73.8725,KLGA,LaGuardia,NON-FATAL,Substantial,N411ZW,Bombardier,CL-600,SCHD,Air Wisconsin (DBA: US Airways Express),0,0,3.0,VMC,APPROACH,2012
ERA11CA010,2010-10-04,"New York, NY",United States,40.773056,-73.870278,LGA,La Guardia Airport,NON-FATAL,,N414ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines Corporations (DBA: US Airways Express),0,1,52.0,VMC,STANDING,2010
CEN12LA457,2012-07-18,"Peoria, IL",United States,40.664167,-89.693333,PIA,General Downing-Peoria,NON-FATAL,,N502AE,Bombardier,CL-600,SCHD,"AMERICAN EAGLE AIRLINES INC (DBA: AMERICAN EAGLE AIRLINES, INC.)",0,1,56.0,VMC,APPROACH,2012
ERA09IA338,2009-06-11,"Atlanta, GA",United States,33.636666,-84.428056,ATL,Hartsfield Jackson ATL Inter.,INCIDENT,Minor,N857AS,Bombardier,CL-600,SCHD,Atlantic Southeast Airlines,0,0,22.0,VMC,LANDING,2009
CEN11IA615,2011-09-01,"Baton Rouge, LA",United States,30.532778,-91.149722,BTR,Baton Rouge Metropolitan,INCIDENT,Minor,N875AS,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,53.0,VMC,LANDING,2011
ENG15IA024,2015-06-05,"Windsor Locks, CT",United States,41.939166,-72.683334,BDL,BRADLEY INTL,INCIDENT,Minor,N363PH,Bombardier,DHC-8,SCHD,CHAMPLAIN ENTERPRISES INC (DBA: CommutAir - United Express),0,0,37.0,VMC,APPROACH,2015
ERA09LA529,2009-08-29,,United States,,,,Unknown,UNAVAILABLE,Substantial,N367PH,Bombardier,DHC-8,SCHD,CHAMPLAIN ENTERPRISES INC (DBA: CommutAir),0,0,,,UNKNOWN,2009
DCA12FA058,2012-04-07,"Houston, TX",United States,29.9775,-95.333334,IAH,Geoarge Bush Intercontinental,NON-FATAL,Substantial,N213WQ,Bombardier,DHC-8,SCHD,COLGAN AIR INC,0,0,35.0,VMC,LANDING,2012
DCA09MA027,2009-02-12,"Clarence Center, NY",United States,43.011111,-78.634722,BUF,Buffalo-Niagara International,FATAL,Destroyed,N200WQ,Bombardier,DHC-8,SCHD,COLGAN AIR INC (DBA: Continental Connection),50,0,,VMC,APPROACH,2009
DCA12CA122B,2012-08-10,"Dulles, VA",United States,38.9475,-77.45,IAD,Washington Dulles Internationa,NON-FATAL,Substantial,N341NG,Bombardier,DHC-8,SCHD,COLGAN AIR INC (DBA: United Express),0,0,270.0,VMC,STANDING,2012
ENG11IA021,2011-03-17,"Pittsburgh, PA",United States,40.431667,-80.034444,,,INCIDENT,Minor,N339NG,Bombardier,DHC-8,SCHD,"Colgan Air, Inc.",0,0,40.0,UNK,,2011
CEN10IA219,2010-04-18,"Kansas City, MO",United States,39.298333,-94.713333,,,INCIDENT,,N160GJ,Bombardier,CL-600,SCHD,GOJET AIRLINES LLC (DBA: United Express),0,0,70.0,VMC,CLIMB,2010
WPR11LA042,2010-11-08,"Los Angeles, CA",United States,34.236389,-118.339722,LAX,Los Angeles International,NON-FATAL,Substantial,N422QX,Bombardier,DHC-8,SCHD,HORIZON AIR INDUSTRIES INC,0,0,77.0,VMC,DESCENT,2010
ERA11CA327,2011-06-05,"Florence, SC",United States,34.071111,-79.889444,,NONE,NON-FATAL,,N929LR,Bombardier,CL-600,SCHD,Mesa Airlines (DBA: US Airways Express),0,1,88.0,VMC,DESCENT,2011
CEN11LA099B,2010-12-04,"Chicago, IL",United States,41.981389,-87.906667,ORD,Chicago O'Hare IAP,NON-FATAL,Substantial,N502MJ,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,0,37.0,VMC,STANDING,2010
DCA15CA131,2015-06-10,"McCook, NE",United States,39.497222,-102.193889,,,NON-FATAL,,N246LR,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,1,75.0,UNK,,2015
CHI08IA119,2008-04-24,"Minneapolis, MN",United States,44.881945,-93.221667,MSP,Minneapolis-St Paul Intl.,INCIDENT,,N918XJ,Bombardier,CL-600,SCHD,MESABA AVIATION INC,0,0,80.0,IMC,TAXI,2008
CEN11IA264,2011-03-30,"Detroit, MI",United States,42.212222,-83.353333,DTW,Detroit Metro - Wayne County,INCIDENT,,N8505Q,Bombardier,CL-600,SCHD,PINNACLE AIRLINES INC,0,0,27.0,VMC,UNKNOWN,2011
DCA09FA011,2008-11-13,"Detroit, MI",United States,42.210833,-83.360278,DTW,Detroit Metropolitan Wayne Cou,NON-FATAL,Substantial,N8698A,Bombardier,CL-600,SCHD,"Pinnacle Airlines, Inc (DBA: Northwest Airlink)",0,0,20.0,IMC,TAXI,2008
CEN11LA051,2010-11-02,"Chicago, IL",United States,41.978611,-87.904722,ORD,O'Hare International,NON-FATAL,Substantial,N709BR,Bombardier,CL-600,SCHD,SKYWAY AIRLINES INC,0,0,37.0,VMC,STANDING,2010
ERA11CA046,2010-11-02,"Pittsburgh, PA",United States,40.488055,-80.226389,PIT,Pttsburgh International Airpor,NON-FATAL,Substantial,N454SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,41.0,VMC,STANDING,2010
WPR11IA019,2010-10-18,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Phoenix Sky Harbor Intl.,INCIDENT,Minor,N938SW,Bombardier,CL-600,SCHD,SkyWest Airlines (DBA: United Express),0,0,53.0,VMC,STANDING,2010
CEN11IA379,2011-06-06,"Milwaukee, WI",United States,42.951667,-87.894166,MKE,GENERAL MITCHELL INTL,INCIDENT,Minor,N866AS,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC,0,0,44.0,VMC,LANDING,2011
WPR10IA256,2010-05-23,"Ontario, CA",United States,34.055833,-117.601111,ONT,Ontario International Airport,INCIDENT,Minor,N925SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC,0,0,27.0,VMC,LANDING,2010
WPR11LA058,2010-11-23,"Salt Lake City, UT",United States,40.788333,-111.977778,SLC,Salt Lake City,NON-FATAL,Substantial,N614SK,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Delta Connection),0,0,69.0,IMC,TAXI,2010
DCA13CA008,2012-10-17,"Kabul, Afghanistan",Afghanistan,34.566667,69.201389,OAKB,Kabul International Airport,NON-FATAL,Substantial,N800AW,Bombardier,DHC-8,NSCH,,0,0,7.0,VMC,LANDING,2012
ERA15WA034,2013-11-11,"Charallave, Venezuela",Venezuela,10.29,-66.815,SVCS,Oscar Machado Zuloaga,NON-FATAL,Substantial,N54VS,Bombardier,CL-600,,,0,0,2.0,,,2013
OPS09IA005A,2009-05-29,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte/Douglas Internationa,INCIDENT,,,Bombardier,CL-600,SCHD,,0,0,,VMC,TAKEOFF,2009
OPS11IA552B,2011-05-16,"CHICAGO, IL",United States,,,KORD,Chicago Oäó»Hare International,INCIDENT,,,Bombardier,CL-600,SCHD,,0,0,63.0,VMC,APPROACH,2011
OPS10IA163A,2010-04-29,"Burbank, CA",United States,,,BUR,Bob Hope Airport,INCIDENT,,,Bombardier,CL-600,SCHD,,0,0,,VMC,APPROACH,2010
OPS08IA015A,2008-09-19,"Allentown, PA",United States,,,ABE,Allentown / Lehigh Valley Intl,INCIDENT,,,Bombardier,CL-600,SCHD,,0,0,63.0,VMC,TAKEOFF,2008
DCA15WA174A,2015-08-03,"Toronto, Canada",Canada,,,,,INCIDENT,,N272PQ,Bombardier,CL-600,,,0,0,,,LANDING,2015
OPS09IA009A,2009-06-26,"Cleveland, OH",United States,,,CLE,Cleveland/Hopkins Int'l Airpor,INCIDENT,,,Bombardier,DHC-8,SCHD,,0,0,66.0,VMC,TAKEOFF,2009
ENG15RA010,2014-12-16,"Belfast, N Ireland, United Kingdom",United Kingdom,,,,,INCIDENT,,,Bombardier,DHC-8,,,0,0,,,CRUISE,2014
DCA05IA072,2005-06-09,"colorado spring, CO",United States,,,,,INCIDENT,,CGJAZ,Bombardier,CL-600,SCHD,Air Canada Jazz,0,0,66.0,,CRUISE,2005
DCA05MA071,2005-05-31,"Chicago O'Hare, IL",United States,,,ORD,Chicago O'Hare International,NON-FATAL,Minor,N417AW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines Corporation (DBA: United Express),0,1,26.0,VMC,STANDING,2005
DCA06MA064,2006-08-27,"Lexington, KY",United States,,,LEX,BLUE GRASS,FATAL,Destroyed,N431CA,Bombardier,CRJ-200,SCHD,COMAIR INC,49,1,,VMC,TAXI,2006
SEA05LA184B,2005-08-29,"Portland, OR",United States,45.588611,-122.5975,PDX,Portland International,NON-FATAL,Substantial,N363PH,Bombardier,DHC-8,SCHD,Horizon Air,0,0,270.0,VMC,STANDING,2005
SEA08IA080,2008-02-13,"Hilo, HI",United States,19.622223,-154.863889,PHTO,Hilo International Airport,INCIDENT,,N651BR,Bombardier,CL-600,SCHD,Mesa Airlines (DBA: GO),0,0,43.0,VMC,CLIMB,2008
DEN07IA055,2007-01-25,"Cripple Creek, CO",United States,38.739722,-105.304166,,,INCIDENT,Minor,N17337,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,0,54.0,VMC,CLIMB,2007
LAX06LA154,2006-04-30,"Las Vegas, NV",United States,36.08,-115.152222,LAS,Mc Carran International,NON-FATAL,Substantial,N909FJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,0,89.0,VMC,TAXI,2006
LAX07IA191,2007-06-13,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Pheonix Sky Harbor Intl.,INCIDENT,,N7264V,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc. (DBA: US Airways Express)",0,0,53.0,VMC,STANDING,2007
ATL06IA054,2006-03-19,"Asheville, NC",United States,35.436111,-82.541666,AVL,Asheville Regional Airport,INCIDENT,Minor,N8783E,Bombardier,CL-600,SCHD,"Pinnacle Airlines, Inc (DBA: Northwest Air Link)",0,0,33.0,VMC,CLIMB,2006
NYC08LA234B,2008-06-28,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte-Douglas,NON-FATAL,Substantial,N228PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: US Airways Express),0,0,112.0,VMC,STANDING,2008
NYC08LA234A,2008-06-28,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte-Douglas,NON-FATAL,Substantial,N725PS,Bombardier,CL-600,SCHD,PSA Airlines Inc. (DBA: US Airways Express),0,0,112.0,VMC,TAXI,2008
CHI06IA011,2005-10-17,"West Grove, PA",United States,39.839166,-75.816945,,,INCIDENT,Minor,N244PS,Bombardier,CL-600,SCHD,"PSA Airlines, Inc. (DBA: US Airways Express)",0,0,51.0,VMC,CLIMB,2005
DEN08FA072,2008-04-08,"Colorado Spring, CO",United States,38.805556,-104.700556,,,NON-FATAL,Substantial,N483BA,Bombardier,CL-600,,,0,0,5.0,VMC,TAKEOFF,2008
NYC07LA018,2006-10-31,"Teterboro, NJ",United States,40.886111,-74.386389,TEB,Teterboro Airport,NON-FATAL,,N322FX,Bombardier,CL-600,,,0,1,2.0,VMC,CRUISE,2006
NYC07RA064,2007-02-13,"Moscow, Russia",Russia,,,,,NON-FATAL,Destroyed,N168CK,Bombardier,CL-600,,,0,2,,IMC,,2007
LAX07CA077,2007-01-31,"Kaunakakai, HI",United States,21.150278,-157.096666,,,NON-FATAL,,N979HA,Bombardier,DHC-8,,,0,1,5.0,VMC,DESCENT,2007
SEA08LA061A,2008-01-13,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,NON-FATAL,Substantial,N705SK,Bombardier,CL-600,SCHD,,0,0,61.0,VMC,TAXI,2008
DEN08LA010,2007-10-12,"Denver, CO",United States,39.861667,-104.673056,DEN,Denver International,NON-FATAL,Substantial,N368CA,Bombardier,CL-600,SCHD,,0,0,74.0,VMC,TAKEOFF,2007
CHI06LA016,2005-10-26,"Covington, KY",United States,39.046111,-84.663889,CVG,Cincinnati / Northern Kentucky,NON-FATAL,,N391CA,Bombardier,CL-600,SCHD,,0,1,24.0,VMC,STANDING,2005
NYC06LA099,2006-04-15,"Front Royal, VA",United States,38.964722,-78.3625,,,NON-FATAL,,N934EV,Bombardier,CL-600,SCHD,,0,1,50.0,VMC,DESCENT,2006
OPS08IA002A,2007-12-02,"Baltimore, MD",United States,39.175278,-76.668334,BWI,BALTIMORE-WASHINGTON INTL,INCIDENT,,,Bombardier,CRJ-200,SCHD,,0,0,184.0,VMC,TAKEOFF,2007
FTW95IA156,1995-04-03,"DFW AIRPORT, TX",United States,,,DFW,DALLAS/FORT WORTH,INCIDENT,Minor,XASIJ,Boeing,727,NSCH,(DBA: AEROEXO),0,0,158.0,VMC,CLIMB,1995
CHI97IA096,1997-03-22,"MANAUS, Brazil",Brazil,,,SBEG,EDUARDO GOMEZ AIRPORT,INCIDENT,Minor,N707CK,Boeing,747,NSCH,(DBA: AIA),0,0,7.0,VMC,LANDING,1997
SEA00LA094A,2000-05-24,"SEATTLE, WA",United States,,,BFI,KING CO INTL/BOEING FIELD,NON-FATAL,,N767AX,Boeing,767,NSCH,(DBA: AIRBORNE EXPRESS),0,0,4.0,VMC,TAXI,2000
ANC98LA122,1998-08-14,"JUNEAU, AK",United States,,,JNU,JUNEAU INTERNATIONAL,NON-FATAL,Substantial,N799AS,Boeing,737,SCHD,"(DBA: ALASKA AIRLINES, INC)",0,0,145.0,VMC,LANDING,1998
ANC01LA018,2000-11-13,"ANCHORAGE, AK",United States,,,,,NON-FATAL,,N611AS,Boeing,737,SCHD,(DBA: ALASKA AIRLINES),0,1,99.0,VMC,DESCENT,2000
MIA96FA068B,1996-01-23,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,NON-FATAL,Substantial,IDEML,Boeing,747,SCHD,(DBA: ALITALIA),0,0,459.0,VMC,TAXI,1996
FTW95LA167,1995-04-11,"SAN ANTONIO, TX",United States,,,SAT,SAN ANTONIO INTERNATIONAL,NON-FATAL,,N683A,Boeing,757,SCHD,"(DBA: AMERICAN AIRLINES, INC.)",0,1,129.0,VMC,OTHER,1995
CHI98LA127,1998-04-19,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,NON-FATAL,Minor,N722AA,Boeing,727,SCHD,(DBA: AMERICAN AIRLINES),0,1,153.0,VMC,STANDING,1998
FTW00LA244,2000-08-23,GULF OF MEXICO,,,,,,NON-FATAL,Minor,N657AM,Boeing,757,SCHD,(DBA: AMERICAN AIRLINES),0,1,54.0,IMC,CRUISE,2000
CHI99IA204,1999-06-29,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,INCIDENT,Minor,N384AA,Boeing,767,SCHD,(DBA: AMERICAN AIRLINES),0,0,186.0,VMC,TAXI,1999
MIA00LA271,2000-09-26,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,NON-FATAL,,N789AN,Boeing,777,SCHD,(DBA: AMERICAN AIRLINES),0,1,167.0,VMC,DESCENT,2000
CHI00LA268,2000-08-22,"BARABOO, WI",United States,,,,,NON-FATAL,,N785AN,Boeing,777,SCHD,(DBA: AMERICAN AIRLINES),0,1,250.0,IMC,DESCENT,2000
LAX95IA229,1995-06-29,"ELKO, NV",United States,,,,,INCIDENT,Minor,N457TM,Boeing,737,SCHD,(DBA: CASINO EXPRESS),0,0,84.0,VMC,DESCENT,1995
IAD96IA044,1996-02-20,"WASHINGTON, DC",United States,,,DCA,WASHINGTON NATIONAL,INCIDENT,Minor,N33202,Boeing,737,SCHD,(DBA: CONTINENTAL AIRLINES),0,0,79.0,IMC,LANDING,1996
FTW97FA255,1997-07-06,"ALBUQUERQUE, NM",United States,,,ABQ,ALBUQUERQUE INTERNATIONAL,NON-FATAL,Substantial,N2809W,Boeing,727,SCHD,"(DBA: DELTA AIR LINES, INC.)",0,0,153.0,VMC,LANDING,1997
NYC99LA064,1999-02-22,"COVINGTON, KY",United States,,,CVG,CINCINNATI INTERNATION,NON-FATAL,Substantial,N682DA,Boeing,757,SCHD,(DBA: DELTA AIR LINES),0,0,132.0,VMC,TAKEOFF,1999
MIA00LA267,2000-09-20,"ATLANTA, GA",United States,,,,,NON-FATAL,,N172DZ,Boeing,767,SCHD,(DBA: DELTA AIRLINES INC.),0,3,230.0,VMC,DESCENT,2000
MIA99LA272,1999-09-27,"ATLANTA, GA",United States,,,,,NON-FATAL,,N196DN,Boeing,767,SCHD,(DBA: DELTA AIRLINES),0,1,201.0,IMC,MANEUVERING,1999
NYC96IA131,1996-06-25,"JAMAICA, NY",United States,,,,,INCIDENT,Minor,N185DN,Boeing,767,SCHD,(DBA: DELTA AIRLINES),0,0,229.0,VMC,TAKEOFF,1996
LAX96IA199,1996-05-19,"LOS ANGELES, CA",United States,,,,,INCIDENT,Minor,N470EV,Boeing,747,SCHD,"(DBA: EVERGREEN INT'L AIRLINES, INC.)",0,0,3.0,VMC,CLIMB,1996
FTW97IA084,1997-01-21,"OKLAHOMA CITY, OK",United States,,,OKC,WILL ROGERS WORLD,INCIDENT,,N198FE,Boeing,727,SCHD,(DBA: FEDERAL EXPRESS),0,0,4.0,VMC,CLIMB,1997
